,Unnamed: 0,城市,2019平均房价
430,430,鞍山市,4326元/㎡
431,431,抚顺市,4539元/㎡
432,432,朝阳市,4600元/㎡
433,433,营口市,4622元/㎡
434,434,辽阳市,4715元/㎡
435,435,锦州市,5097元/㎡
436,436,本溪市,5330元/㎡
437,437,葫芦岛市,5434元/㎡
438,438,丹东市,6560元/㎡
439,439,瓦房店市,7327元/㎡
440,440,沈阳市,9390元/㎡
441,441,大连市,13200元/㎡
442,442,呼和浩特市,11040元/㎡
443,443,赤峰市,9024元/㎡
444,444,包头市,7556元/㎡
445,445,通辽市,6433元/㎡
446,446,鄂尔多斯市,6395元/㎡
447,447,巴彦淖尔市市,5428元/㎡
448,448,兴安盟市,5386元/㎡
449,449,乌兰察布市,5001元/㎡
450,450,乌海市,4945元/㎡
451,451,锡林郭勒盟市,4830元/㎡
452,452,海拉尔市,4659元/㎡
453,453,呼伦贝尔市,4008元/㎡
454,454,呼伦贝尔市,4008元/㎡
455,455,海拉尔市,4659元/㎡
456,456,锡林郭勒盟市,4830元/㎡
457,457,乌海市,4945元/㎡
458,458,乌兰察布市,5001元/㎡
459,459,兴安盟市,5386元/㎡
460,460,巴彦淖尔市市,5428元/㎡
461,461,鄂尔多斯市,6395元/㎡
462,462,通辽市,6433元/㎡
463,463,包头市,7556元/㎡
464,464,赤峰市,9024元/㎡
465,465,呼和浩特市,11040元/㎡
466,466,银川市,5293元/㎡
467,467,固原市,4414元/㎡
468,468,吴忠市,4361元/㎡
469,469,中卫市,4026元/㎡
470,470,石嘴山市,2912元/㎡
471,471,石嘴山市,2912元/㎡
472,472,中卫市,4026元/㎡
473,473,吴忠市,4361元/㎡
474,474,固原市,4414元/㎡
475,475,银川市,5293元/㎡
476,476,海南市,8334元/㎡
477,477,西宁市,7931元/㎡
478,478,西宁市,7931元/㎡
479,479,海南市,8334元/㎡
480,480,太原市,12033元/㎡
481,481,晋中市,7639元/㎡
482,482,长治市,7553元/㎡
483,483,晋城市,7467元/㎡
484,484,临汾市,5348元/㎡
485,485,忻州市,5239元/㎡
486,486,大同市,5159元/㎡
487,487,运城市,4663元/㎡
488,488,吕梁市,4536元/㎡
489,489,阳泉市,4379元/㎡
490,490,朔州市,3675元/㎡
491,491,朔州市,3675元/㎡
492,492,阳泉市,4379元/㎡
493,493,吕梁市,4536元/㎡
494,494,运城市,4663元/㎡
495,495,大同市,5159元/㎡
496,496,忻州市,5239元/㎡
497,497,临汾市,5348元/㎡
498,498,晋城市,7467元/㎡
499,499,长治市,7553元/㎡
500,500,晋中市,7639元/㎡
501,501,太原市,12033元/㎡
502,502,青岛市,18047元/㎡
503,503,济南市,17448元/㎡
504,504,泰安市,10877元/㎡
505,505,威海市,10096元/㎡
506,506,烟台市,9981元/㎡
507,507,聊城市,9825元/㎡
508,508,章丘市,9215元/㎡
509,509,日照市,8704元/㎡
510,510,淄博市,8387元/㎡
511,511,德州市,8166元/㎡
512,512,滨州市,7791元/㎡
513,513,东营市,7611元/㎡
514,514,诸城市,7421元/㎡
515,515,济宁市,7391元/㎡
516,516,莱芜市,6889元/㎡
517,517,潍坊市,6854元/㎡
518,518,临沂市,6578元/㎡
519,519,枣庄市,6477元/㎡
520,520,菏泽市,6006元/㎡
521,521,垦利市,5712元/㎡
522,522,垦利市,5712元/㎡
523,523,菏泽市,6006元/㎡
524,524,枣庄市,6477元/㎡
