城市,2017流动人口,2017流动人口占比
  通化市,0.477768212,2.20E-03
  白山市,1.490861711,1.21E-02
  松原市,0.001413832,0.00E+00
  白城市,2.068316059,1.06E-02
  哈尔滨市,-0.28361573,-3.00E-04
  齐齐哈尔市,-28.11405216,-5.45E-02
  鸡西市,-0.045868677,-3.00E-04
  鹤岗市,0.620147362,5.90E-03
  双鸭山市,0.998564705,6.80E-03
  大庆市,-0.363385785,-1.30E-03
  伊春市,1.382550017,1.16E-02
  佳木斯市,-8.857096372,-3.87E-02
  七台河市,1.751471698,2.14E-02
  牡丹江市,16.73019872,6.07E-02
  黑河市,5.814084406,3.44E-02
  绥化市,2.983740512,5.50E-03
  上海市,967.4816836,4.00E-01
  南京市,162.2938773,1.97E-01
  无锡市,165.9998867,2.55E-01
  徐州市,-172.0464507,-1.98E-01
  常州市,95.48671377,2.03E-01
  苏州市,385.1708758,3.62E-01
  南通市,-36.8970896,-5.05E-02
  连云港市,-85.49753713,-1.91E-01
  淮安市,-79.89828011,-1.64E-01
  盐城市,-107.8292297,-1.49E-01
  扬州市,-13.25213059,-2.95E-02
  镇江市,45.88927307,1.44E-01
  泰州市,-43.63002377,-9.40E-02
  宿迁市,-105.3365072,-2.16E-01
  杭州市,174.2974028,1.92E-01
  宁波市,193.9995572,2.47E-01
  温州市,96.60201868,1.06E-01
  嘉兴市,107.9502668,2.35E-01
  湖州市,31.24877448,1.06E-01
  绍兴市,52.79950938,1.06E-01
  金华市,67.69653653,1.23E-01
  衢州市,-42.2493437,-1.97E-01
  舟山市,18.50011632,1.60E-01
  台州市,6.445999969,1.06E-02
  丽水市,-52.80006401,-2.45E-01
  合肥市,52.94662956,6.76E-02
  芜湖市,-21.80065116,-5.95E-02
  蚌埠市,-48.89910405,-1.48E-01
  淮南市,-44.64862451,-1.30E-01
  马鞍山市,-2.098339738,-9.20E-03
  淮北市,2.352046559,1.07E-02
  铜陵市,-11.34356237,-7.10E-02
  安庆市,-69.10404277,-1.50E-01
  黄山市,-10.35117528,-7.52E-02
  滁州市,-50.94464746,-1.26E-01
  阜阳市,-267.3855005,-3.37E-01
  宿州市,-97.01128966,-1.74E-01
  六安市,-111.3596446,-2.34E-01
  池州市,-18.05229844,-1.25E-01
  宣城市,-20.34749632,-7.84E-02
  福州市,66.50324008,8.83E-02
  厦门市,167.9996299,4.32E-01
  莆田市,-61.99783615,-2.15E-01
  三明市,-33.00132403,-1.30E-01
  泉州市,124.4982773,1.46E-01
  漳州市,-5.500546659,-1.09E-02
  南平市,-56.00012725,-2.11E-01
  龙岩市,-52.00107803,-1.99E-01
  宁德市,-63.99932574,-2.22E-01
  南昌市,10.71316699,2.01E-02
  景德镇市,-4.229480868,-2.57E-02
  萍乡市,-9.234626409,-4.84E-02
  九江市,-36.32869537,-7.51E-02
  新余市,-6.979717216,-5.96E-02
  鹰潭市,-12.37060995,-1.07E-01
  赣州市,-114.2025542,-1.33E-01
  吉安市,-44.14547226,-8.99E-02
