城市,2010流动人口,2010流动人口占比,2011流动人口,2011流动人口占比,2012流动人口,2012流动人口占比,2013流动人口,2013流动人口.1,2015流动人口,2015流动人口占比,2016流动人口,2016流动人口占比,2017流动人口,2017流动人口占比
  赣州市,-57.21765824,-6.81%,-66.74965771,-7.94%,-77.78587606,-9.25%,-82.69781794,-9.80%,-104.9314815,-12.36%,-107.913221,-12.66%,-114.2025542,-13.33%
  吉安市,-7.83716734,-1.63%,-13.69515398,-2.85%,20.71841949,3.97%,33.76098607,6.26%,-39.33011065,-8.07%,-41.35830683,-8.46%,-44.14547226,-8.99%
  宜春市,-1.527016994,-0.28%,-16.71662519,-3.09%,-23.09633759,-4.25%,-27.22382411,-4.99%,-47.05112376,-8.58%,-46.68942628,-8.48%,-49.78208187,-9.01%
  抚州市,-9.980903815,-2.56%,-12.23432693,-3.12%,-19.28476226,-4.91%,-23.45911481,-5.95%,-30.55857805,-7.70%,-0.816794664,-0.20%,-0.819227337,-0.20%
  上饶市,-76.89043991,-11.80%,-84.62597555,-12.91%,-89.65024683,-13.57%,-96.99355769,-14.62%,-105.4991215,-15.80%,-104.2394836,-15.55%,-108.6534301,-16.14%
  济南市,62.00006908,9.32%,70.54427975,10.46%,78.55339522,11.47%,82.5337999,11.93%,81.68530688,11.61%,84.26802139,11.87%,85.26245343,11.87%
  枣庄市,-21.00573185,-5.74%,-21.30332447,-5.76%,-20.10870982,-5.38%,-18.56375326,-4.93%,-19.69841973,-5.16%,-22.32196235,-5.79%,-23.31691037,-5.98%
  东营市,16.54021393,8.22%,17.79041495,8.78%,18.59670823,9.09%,20.87986176,10.12%,20.0991804,9.61%,19.86445144,9.44%,19.13968688,9.02%
  烟台市,50.65360743,7.21%,48.96922993,6.99%,45.39096334,6.51%,47.63054234,6.82%,46.18375197,6.60%,47.54083954,6.78%,48.9129467,6.95%
  潍坊市,24.50612104,2.75%,28.0727704,3.11%,34.4696315,3.78%,39.67558206,4.32%,35.17470382,3.81%,32.50453138,3.51%,-28.69295656,-3.29%
  济宁市,-31.37790807,-3.92%,-37.34576946,-4.64%,-36.26082454,-4.47%,-32.75811311,-4.02%,-37.80741999,-4.60%,-40.48615797,-4.90%,-43.31446711,-5.20%
  威海市,27.31610337,9.75%,-0.321297507,-0.13%,26.47909076,9.45%,0.107079915,0.04%,25.9409047,9.24%,25.97520155,9.25%,25.22920679,8.97%
  日照市,-10.83710407,-3.94%,-9.992499526,-3.60%,-7.995486633,-2.85%,-5.437150739,-1.92%,-7.848783474,-2.74%,-8.42633798,-2.93%,-10.94023125,-3.78%
  莱芜市,1.319352426,1.03%,2.170532585,1.68%,3.23434008,2.48%,4.665319837,3.56%,6.099361271,4.56%,6.526183446,4.84%,7.370869152,5.41%
  临沂市,-55.4512615,-5.62%,-67.92151637,-6.76%,-73.67352652,-7.31%,-73.06127214,-7.23%,-94.18881023,-9.24%,-97.42225666,-9.49%,-103.2580728,-9.95%
  德州市,-42.70172074,-8.11%,-13.34135967,-2.40%,-17.13737287,-3.07%,-15.78758499,-2.81%,-14.3956355,-2.53%,-14.89681536,-2.60%,-16.27552305,-2.82%
  聊城市,-31.87227684,-5.70%,-27.55388983,-4.83%,-21.9930114,-3.78%,-7.523268531,-1.28%,-19.75500683,-3.34%,-26.98453166,-4.53%,-32.634638,-5.44%
  滨州市,-8.070686496,-2.18%,-5.505415617,-1.48%,-4.591217978,-1.22%,-2.940615314,-0.78%,-4.426547677,-1.16%,-4.143003318,-1.08%,-4.50273747,-1.16%
  菏泽市,-117.6433651,-14.32%,-131.975662,-15.96%,-136.1788648,-16.40%,-124.4610363,-14.94%,-150.3254783,-17.89%,-156.1605291,-18.44%,-158.846977,-18.55%
  郑州市,16.53599127,2.21%,-153.9639017,-19.03%,-134.2147656,-15.32%,-178.1520289,-19.92%,-9.330873669,-1.00%,136.8559102,14.45%,137.6392515,14.27%
  开封市,-57.20788969,-12.17%,-65.25270886,-13.90%,-76.56224099,-16.40%,-78.75143893,-16.91%,-94.05500709,-20.46%,-99.26252166,-21.84%,-104.5345296,-23.00%
  洛阳市,-52.77110363,-8.22%,-54.73791958,-8.44%,-55.0591485,-8.39%,-51.84767411,-7.88%,-31.53532995,-4.74%,-57.35441461,-8.55%,-59.7960468,-8.83%
  平顶山市,-42.39127987,-8.65%,-49.18992518,-10.03%,-57.74480762,-11.76%,-53.23782093,-10.81%,-61.19774641,-12.34%,-60.35435381,-12.02%,-70.79464967,-14.24%
  安阳市,-51.85093521,-9.95%,-62.02021319,-11.94%,-74.82498091,-14.50%,-81.34348877,-15.90%,-102.5064186,-20.14%,-105.7521614,-20.67%,-113.4505972,-22.13%
  新乡市,-45.90490218,-8.33%,-42.46124552,-7.56%,-43.98034201,-7.74%,-50.60675572,-8.93%,-61.34441675,-10.78%,-62.30059988,-10.83%,-72.80320063,-12.70%
  焦作市,-23.1634188,-6.78%,-19.6748774,-5.65%,-16.49364111,-4.67%,-14.95338754,-4.24%,-17.77269796,-5.05%,-18.85374977,-5.34%,-19.99976345,-5.65%
  濮阳市,-53.31472289,-15.19%,-53.92799422,-15.15%,-58.60777946,-16.37%,-63.41372677,-17.72%,-65.24921909,-18.16%,-68.45926986,-18.99%,-71.14486133,-19.66%
  许昌市,-54.0714405,-12.54%,-58.51378832,-13.57%,-63.82649225,-14.83%,-64.58348312,-15.03%,-69.18557075,-16.07%,-71.94112555,-16.62%,-73.8983713,-16.95%
  漯河市,-27.21505615,-10.94%,-26.19195447,-10.38%,-21.47406654,-8.42%,-19.60164686,-7.67%,-10.05030405,-3.92%,-6.674374918,-2.55%,-6.000899412,-2.28%
  三门峡市,-7.080530598,-3.18%,-7.098116194,-3.18%,-1.827822537,-0.82%,-2.460815744,-1.10%,-3.391360683,-1.51%,-3.590432463,-1.60%,-3.872975176,-1.72%
  南阳市,-158.8076408,-15.74%,-166.394257,-16.31%,-180.8383048,-17.73%,-192.3842069,-18.97%,-177.4711043,-17.68%,-187.9710502,-18.79%,-190.4965173,-18.96%
  商丘市,-131.8203874,-16.92%,-159.7791084,-21.07%,-190.8912312,-25.94%,-199.8128593,-27.21%,-222.9407209,-30.68%,-234.4812189,-32.27%,-249.2253037,-34.24%
  信阳市,-186.8264296,-27.71%,-225.5386703,-34.98%,-266.1632675,-43.60%,-229.9167405,-36.77%,-251.1357221,-39.29%,-275.3039003,-44.21%,-265.8290738,-41.40%
  周口市,-206.3175171,-20.62%,-275.4142769,-29.02%,-343.9471844,-38.45%,-341.2344536,-38.43%,-357.4326476,-40.64%,-363.6615728,-41.29%,-377.5026478,-42.83%
  驻马店市,-103.976686,-13.52%,-139.6865977,-18.71%,-176.5486664,-24.67%,-198.1249183,-28.26%,-229.174302,-33.15%,-261.609973,-39.09%,-251.954213,-36.15%
  武汉市,67.94992179,7.52%,107.2719674,11.36%,162.655815,16.43%,185.2978108,18.40%,200.1979592,19.48%,218.0161368,20.82%,234.692641,21.96%
