城市,2017流动人口,2017平均房价
株洲市,-3.160081184,5480.00 
湘潭市,-6.921890638,4900.00 
衡阳市,-67.8324449,4740.00 
邵阳市,-100.8544813,4530.00 
岳阳市,-5.477677269,6910.00 
常德市,-26.58273154,6210.00 
张家界市,-18.3377709,6630.00 
益阳市,-41.86444392,5540.00 
郴州市,-62.93289927,4810.00 
永州市,-100.2577234,4810.00 
怀化市,-31.91222164,4960.00 
娄底市,-64.69801431,4740.00 
广州市,507.2302424,28600.00 
韶关市,-39.61708708,5220.00 
深圳市,779.3560578,51500.00 
珠海市,50.47283457,19500.00 
汕头市,-2.441321209,8340.00 
佛山市,344.665263,10200.00 
江门市,59.17581594,6690.00 
湛江市,-109.280383,6940.00 
茂名市,-188.7980838,7300.00 
肇庆市,-36.79006604,6960.00 
惠州市,112.5263739,10200.00 
梅州市,-115.9272636,7920.00 
汕尾市,-59.09034405,7550.00 
河源市,-65.2731724,6430.00 
阳江市,-44.02078087,5410.00 
清远市,-47.97564755,6690.00 
东莞市,624.7766866,13900.00 
中山市,160.9810799,11300.00 
揭阳市,-89.34589881,6100.00 
南宁市,-49.5873907,9520.00 
柳州市,8.072007,7670.00 
桂林市,-35.45050466,6180.00 
梧州市,-46.10713554,4140.00 
北海市,-10.52971744,5660.00 
防城港市,-4.629898344,4430.00 
钦州市,-86.3868267,3560.00 
贵港市,-123.7105713,5050.00 
玉林市,-143.8636347,4880.00 
重庆市,-328.1006528,9930.00 
成都市,182.3712968,12000.00 
自贡市,-49.45145118,5680.00 
攀枝花市,12.40933581,4010.00 
泸州市,-78.42337015,5990.00 
德阳市,-40.34871075,4980.00 
绵阳市,-65.85736349,6900.00 
广元市,-41.75414805,6180.00 
遂宁市,-48.60195982,6830.00 
内江市,-45.67536851,5340.00 
乐山市,-28.72192067,4910.00 
南充市,-102.6789455,5890.00 
眉山市,-49.886722,4340.00 
宜宾市,-106.0060161,6630.00 
广安市,-141.4267733,5330.00 
达州市,-125.7331121,6160.00 
巴中市,-43.19342065,4350.00 
资阳市,-102.120966,6240.00 
贵阳市,64.9298973,7480.00 
遵义市,-180.9712987,5560.00 
昆明市,110.2534447,9770.00 
玉溪市,19.84888696,6650.00 
保山市,-2.098092183,6440.00 
昭通市,-63.75021368,4760.00 
丽江市,6.250912257,5580.00 
普洱市,10.72206594,4720.00 
拉萨市,11.57465589,9170.00 
兰州市,45.93020406,9990.00 
平凉市,-23.94624271,6750.00 
酒泉市,-0.259295064,5180.00 
庆阳市,-46.37749682,5990.00 
定西市,-24.59704003,5220.00 
西宁市,29.19132748,6530.00 
银川市,33.76156311,4950.00 
石嘴山市,4.157583231,2980.00 
中卫市,-6.231682967,4440.00 
乌鲁木齐市,83.96115365,7250.00 
克拉玛依市,15.22703868,4680.00 
